"source_db";"source_id";"doi";"title";"authors";"journal";"year";"volume";"issue";"pages";"issn";"abstract";"keywords";"mesh_terms";"matched_disasters_mesh";"matched_gestational_mesh";"matched_neonatal_mesh";"language";"publication_type";"url"
"scopus";"";"10.1146/annurev-genet-111212-133501";"Radiation effects on human heredity";"Nakamura, N.; Suyama, A.; Noda, A.; Kodama, Y.";"Annual Review of Genetics";"2013";"47";"";"33-50";"";"In experimental organisms such as fruit flies and mice, increased frequencies in germ cell mutations have been detected following exposure to ionizing radiation. In contrast, there has been no clear evidence for radiation-induced germ cell mutations in humans that lead to birth defects, chromosome aberrations, Mendelian disorders, etc. This situation exists partly because no sensitive and practical genetic marker is available for human studies and also because the number of people exposed to large doses of radiation and subsequently having offspring was small until childhood cancer survivors became an important study population. In addition, the genome of apparently normal individuals seems to contain large numbers of alterations, including dozens to hundreds of nonfunctional alleles. With the number of mutational events in protein-coding genes estimated as less than one per genome after 1 gray (Gy) exposure, it is unsurprising that genetic effects from radiation have not yet been detected conclusively in humans. © 2013 by Annual Reviews. All rights reserved.";"Birth defects; Cancer incidence; Chromosome aberrations; Germ cell mutations; Human genome; Sex ratios; radioisotope; atomic bomb survivor; autosomal inheritance; birth defect; cancer incidence; cancer radiotherapy; cancer risk; cancer survivor; Chernobyl accident; childhood leukemia; chromosome aberration; chromosome inversion; chromosome translocation; daughter cell; experimental animal; fetus malformation; Fukushima nuclear accident; gene locus; genetic marker; genome analysis; germ cell; heredity; human; human genome; industrial worker; ionizing radiation; leukemia; low birth weight; meiosis; microsatellite instability; mortality; nephroblastoma; nonhuman; nuclear power plant; occupational exposure; perinatal death; pollution; prematurity; priority journal; progeny; radiation carcinogenesis; radiation dose; radiation exposure; radiation mutagenesis; radiation response; review; risk assessment; sex difference; sex ratio; stillbirth; X chromosome; Mus; Abnormalities, Radiation-Induced; Animals; Chromosome Aberrations; Chromosomes; DNA Damage; Dose-Response Relationship, Radiation; Drosophila melanogaster; Female; Follow-Up Studies; Genome, Human; Germ-Line Mutation; Humans; Male; Mice; Models, Animal; Mutagenesis; Neoplasms, Radiation-Induced; Nuclear Weapons; Occupational Exposure; Radiation Injuries; Radiation Tolerance; Radioactive Hazard Release; Radiotherapy; Sex Ratio; Survivors";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888630181&doi=10.1146%2Fannurev-genet-111212-133501&partnerID=40&md5=cd57bcc987fce2f597c85d737103ffc1"
"scopus";"";"10.1177/0141076813507709";"Reducing risks to the unborn child";"Currey, B.; Stoll, B.; Chastonay, P.";"Journal of the Royal Society of Medicine";"2013";"106";"11";"428-430";"";"";"editorial; fetus echography; fetus risk; human; life expectancy; maternal care; maternal morbidity; poverty; pregnancy outcome; risk reduction; beginning of human life; child; disaster; female; fetus; health service; newborn; pregnancy; prenatal care; Prenatal Injuries; risk; Beginning of Human Life; Child; Disasters; Female; Fetus; Health Services Needs and Demand; Humans; Infant, Newborn; Pregnancy; Pregnancy Outcome; Prenatal Care; Risk";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886545625&doi=10.1177%2F0141076813507709&partnerID=40&md5=b82f631f8af27a7af0c76c63872e5be9"
"scopus";"";"10.2478/s13382-013-0110-6";"A retrospective review of cytogenetic studies on methyl isocyanate with special reference to the Bhopal gas tragedy: Is the next generation also at risk?";"Samarth, R.M.; Gandhi, P.; Maudar, K.K.";"International Journal of Occupational Medicine and Environmental Health";"2013";"26";"3";"324-336";"";"The world's worst industrial disaster, at Union Carbide, Bhopal, India, took place on 2-3 December 1984, leading to the leakage of poisonous methyl-isocyanate into the environment, causing thousands of deaths, pregnancy loss and for some, incapacitation for life. More than a quarter of a century later, the Indian Council of Medical Research undertook to redefine the abysmal consequences of the toxic gas exposure on the exposed population. This invigorated the interest of scientific community in the evaluation of the long-term effects, with reference to cytogenetic parameters. The thrust area was identified in terms of genetic disorders, low birth weight, developmental/growth disorders and congenital malformations. Also the impact on epigenetic factors, which may have contributed to variations in the functional expression of genes, was not negated, stimulating intense scientific research on in utero exposure and the progeny of the exposed population. To accomplish this mammoth task, molecular cytogenetic investigations must be undertaken in conjunction with conventional cytogenetics, using techniques such as FISH, Immuno-FISH, SKY and SNP analysis, to build up a cytogenetic database of the surviving population. © 2013 Versita Warsaw and Springer-Verlag Wien.";"Bhopal gas tragedy; Cytogenetic database; Cytogenetic studies; Methyl isocyanate (MIC); Molecular cytogenetic tools; isocyanic acid derivative; methyl isocyanate; animal; Bhopal disaster; chromosome analysis; DNA damage; female; genetics; human; lymphocyte; pregnancy; prenatal exposure; review; Animals; Bhopal Accidental Release; Cytogenetic Analysis; DNA Damage; Female; Humans; Isocyanates; Lymphocytes; Pregnancy; Prenatal Exposure Delayed Effects";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884251418&doi=10.2478%2Fs13382-013-0110-6&partnerID=40&md5=356da52870d18c088dcd98d4524b2eef"
"scopus";"";"10.5539/gjhs.v5n4p106";"The effects of disaster on women's reproductive health in developing countries.";"Swatzyna, R.J.; Pillai, V.K.";"Global journal of health science";"2013";"5";"4";"106-113";"";"The objective of this study is to empirically test the effects of disasters which include natural as well as human made disasters such as armed conflict on women's reproductive health in developing countries. Data from 128 developing countries are used. It was found that average number of deaths from natural disasters and armed conflict in the East Asia and Pacific region was not significantly different from the rest of the developing world. The data are examined using structural equation analysis. This study finds that 'armed conflict' in developing countries presents significant reproductive health risks. The implications are discussed.";"article; birth rate; developing country; disaster; female; health service; human; Human immunodeficiency virus infection; maternal mortality; reproductive health; sanitation; standard; statistics; war; water supply; Birth Rate; Developing Countries; Disasters; Female; HIV Infections; Humans; Maternal Health Services; Maternal Mortality; Reproductive Health; Sanitation; War; Water Supply";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883481164&doi=10.5539%2Fgjhs.v5n4p106&partnerID=40&md5=4d4047fb2d44ac0312cfa56098a8192b"
"scopus";"";"10.1097/AOG.0b013e31829b5938";"Lessons learned from an obstetrics and gynecology field hospital response to natural disasters";"Pinkert, M.; Dar, S.; Goldberg, D.; Abargel, A.; Cohen-Marom, O.; Kreiss, Y.; Merin, O.";"Obstetrics and Gynecology";"2013";"122";"3";"532-536";"";"Field hospitals were deployed by the Israel Defense Forces as part of the international relief efforts after major seismic events, one in Haiti (2010) and one in Japan (2011). The teams treated a total of 44 pregnant and 24 nonpregnant women and performed 16 deliveries and three cesarean deliveries under extreme conditions. Half of all deliveries were complicated by preeclampsia and 31% were preterm (at 30-32 weeks of gestation). It is imperative that obstetrician-gynecologists be included among humanitarian aid delegations sent to sites of natural disasters. The complicated cases we encountered required highly skilled obstetricians and led to a shortage of specific medications for these women. Cases that would have been considered routine under normal conditions created unanticipated ethical and practical issues in the face of very limited resources. The aim of this commentary is to share the experiences and lessons learned by our field hospital obstetrics and gynecology teams after the major earthquakes in Haiti and Japan. We present what we consider to be the 10 most important lessons learned and propose that they serve as guidelines in preparing for essential needs in other natural disaster settings. © 2013 by The American College of Obstetricians and Gynecologists. Published by Lippincott Williams & Wilkins.";"aciclovir; amoxicillin plus clavulanic acid; ampicillin; ciprofloxacin; clotrimazole; doxycycline; estradiol; fluconazole; glycerol; indometacin; magnesium sulfate; medroxyprogesterone; methylergometrine maleate; metronidazole; naproxen; nifedipine; oral contraceptive agent; oxytocin; pethidine; promethazine; rhesus D antibody; surfactant; cesarean section; earthquake; field hospital; gynecologist; Haiti; human; Japan; medical assistant; natural disaster; practice guideline; pregnant woman; priority journal; review";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883244456&doi=10.1097%2FAOG.0b013e31829b5938&partnerID=40&md5=b2e710bc5f80bb128eab2b1c9bdf7507"
"scopus";"";"10.1002/bdrc.21026";"Using Natural Disasters to Study the Effects of Prenatal Maternal Stress on Child Health and Development";"King, S.; Dancause, K.N.; Turcotte-Tremblay, A.-M.; Veru-Lesmes, F.; Laplante, D.P.";"Birth Defects Research Part C - Embryo Today: Reviews";"2012";"96";"4";"273-288";"";"Research on the developmental origins of health and disease highlights the plasticity of the human fetus to a host of potential teratogens. Experimental research on laboratory animals has demonstrated a variety of physical and behavioral effects among offspring exposed to prenatal maternal stress (PNMS). However, these studies cannot elucidate the relative effects of the objective stress exposure and the subjective distress in a way that would parallel the stress experience in humans. PNMS research with humans is also limited because there are ethical challenges to designing studies that involve the random assignment of pregnant women to varying levels of independent stressors. Natural disasters present opportunities for natural experiments of the effects of pregnant women's exposure to stress on child development. In this review, we present an overview of the human and animal research on PNMS, and highlight the results of Project Ice Storm which has been following the cognitive, behavioral, motor and physical development of children exposed in utero to the January 1998 Quebec Ice Storm. We have found that both objective degree of exposure to the storm and the mothers' subjective distress have strong and persistent effects on child development, and that these effects are often moderated by the timing of the ice storm in pregnancy and by the child's sex. © 2013 Wiley Periodicals, Inc.";"Disaster research; Newborn and child outcomes; Prenatal maternal stress; corticosteroid; corticotropin; hydrocortisone; asthma; autism; behavior disorder; birth weight; body mass; brain development; child development; child health; cognitive development; first trimester pregnancy; gestational age; human; hypertension; immunity; Impact of Events Scale; insulin metabolism; insulin resistance; intelligence test; intrauterine growth retardation; language ability; language development; low birth weight; maternal stress; mental disease; motoneuron; natural disaster; nerve cell differentiation; obesity; pregnancy; pregnancy outcome; prenatal exposure; prenatal maternal stress; prenatal stress; priority journal; review; risk factor; second trimester pregnancy; social status; temperament; disaster research; newborn and child outcomes; Body Mass Index; Child; Child Development; Child Welfare; Cognition; Disasters; Female; Humans; Male; Obesity; Pregnancy; Pregnancy Outcome; Prenatal Exposure Delayed Effects; Quebec; Stress, Physiological";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873834921&doi=10.1002%2Fbdrc.21026&partnerID=40&md5=80fd054f693164da68c807e81e0a0505"
"scopus";"";"10.1016/j.emc.2012.08.007";"Cardiovascular Disasters in Pregnancy";"Sommerkamp, S.K.; Gibson, A.";"Emergency Medicine Clinics of North America";"2012";"30";"4";"949-959";"";"Cardiovascular emergencies in pregnancy are rare but often catastrophic. This article reviews the diagnosis and management of venous thromboembolism, aortic dissection, acquired heart disease and cardiomyopathy, acute myocardial infarction, and cardiac dysrhythmias in the setting of pregnancy. It also reviews updated resuscitation guidelines for cardiac arrest and perimortem cesarean section. © 2012 Elsevier Inc.";"Acute myocardial infarction; Aortic dissection; Arrhythmia; Cardiac arrest; Cardiomyopathy; Perimortem cesarean section; Pregnancy; Pulmonary embolus; adenosine; alteplase; amiodarone; beta adrenergic receptor blocking agent; D dimer; dipeptidyl carboxypeptidase inhibitor; dobutamine; enoxaparin; heparin; hydralazine; loop diuretic agent; metoprolol; nitrate; procainamide; verapamil; warfarin; acute heart infarction; aorta dissection; cardiomyopathy; cardiovascular disease; cardioversion; cesarean section; computer assisted tomography; congenital heart disease; deep vein thrombosis; defibrillation; diabetes mellitus; drug choice; drug contraindication; drug efficacy; drug safety; heart arrest; heart arrhythmia; heart disease; high risk population; human; hypertension; laboratory test; lung embolism; maternal age; maternal mortality; nuclear magnetic resonance imaging; obesity; percutaneous coronary intervention; pregnancy; pregnant woman; priority journal; radiation exposure; reliability; resuscitation; review; risk benefit analysis; supraventricular tachycardia; venous thromboembolism; Aortic Aneurysm; Arrhythmias, Cardiac; Catastrophic Illness; Cesarean Section; Emergencies; Female; Heart Arrest; Humans; Myocardial Infarction; Pregnancy; Pregnancy Complications, Cardiovascular; Pulmonary Embolism; Venous Thromboembolism";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868355327&doi=10.1016%2Fj.emc.2012.08.007&partnerID=40&md5=1ad6c2f52db76ac6f1e4153f5b68f93a"
"scopus";"";"10.3109/14767058.2012.697945";"Post-earthquake birth-rate evaluation using the brief cope";"Carta, G.; D'Alfonso, A.; Colagrande, I.; Catana, P.; Casacchia, M.; Patacchiola, F.";"Journal of Maternal-Fetal and Neonatal Medicine";"2012";"25";"11";"2411-2414";"";"Background: The study arises from the idea of analyzing the reasons why many women in L'Aquila decided to conceive in the months following the 2009 earthquake. In the months from January to June 2011, there was a +27.24% increase in the number of newborns (+ 91) delivered in the Obstetrics and Gynecology Unit of the San Salvatore Hospital of L'Aquila compared to the same six-month period in 2010. Methods: Between January 2010 and December 2010, 874 women gave birth in L'Aquila. The women living outside of L'Aquila were excluded from the study. The remaining women, namely a sample of 451 individuals, were administered a questionnaire that focused on the level of stress experienced during the earthquake, and subsequently the Brief Cope. Results: After the earthquake there was a +22.64% increase in the number of women who desired a pregnancy. The results of the Brief Cope show that the coping strategies used by the women in L'Aquila were active coping, planning, acceptance and positive reframing. Conclusions: The desire for motherhood was the main reason accounting for the increase in births that occurred after the earthquake. The decision to have a child was the tangible sign of adaptation to the post-traumatic stress. © 2012 Informa UK, Ltd.";"Birth-rate; Brief-Cope; Coping; Earthquake; Post-traumatic growth; adaptive behavior; adolescent; adult; article; birth rate; contraception; coping behavior; decision making; earthquake; evaluation research; family planning; female; human; outcome assessment; posttraumatic stress disorder; pregnancy outcome; priority journal; questionnaire; sexual intercourse; Adaptation, Psychological; Adolescent; Adult; Birth Rate; Earthquakes; Female; Humans; Infant, Newborn; Italy; Middle Aged; Pregnancy; Pregnancy Complications; Pregnancy Outcome; Questionnaires; Research Design; Stress Disorders, Post-Traumatic; Stress, Psychological; Young Adult";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867556022&doi=10.3109%2F14767058.2012.697945&partnerID=40&md5=4a1c96fbafc1419f98aff06dfaca1ad7"
"scopus";"";"10.3109/14767058.2012.678437";"Adverse perinatal outcomes after the February 27th 2010 Chilean earthquake";"Oyarzo, C.; Bertoglia, P.; Avendaño, R.; Bacigalupo, F.; Escudero, A.; Acurio, J.; Escudero, C.";"Journal of Maternal-Fetal and Neonatal Medicine";"2012";"25";"10";"1868-1873";"";"Objective: To investigate whether the February 27th earthquake exposition was associated to adverse perinatal outcomes in Chilean pregnant women.Methods: We analyzed all deliveries occurred in 2009 (n = 3,609) and 2010 (n = 3,279) in a reference hospital in the area of the earthquake. Furthermore, we investigated pregnant women who gave birth between March 1st and December 31st 2010 (n = 2,553) and we classified them according to timing of exposition.Results: We found a 9% reduction in birth rate, but an increase in the rate of early preterm deliveries (<34 weeks), premature rupture of membranes (PROM), macrosomia, small for gestational age, and intrauterine growth restriction (IUGR) after the earthquake, in contrast to the previous year. Women exposed to the earthquake during her first trimester delivered smaller newborns (3,340 ± 712 g v/s 3,426 ± 576 g respectively, p = 0.007) and were more likely diagnosed with early preterm delivery, preterm delivery (<37 weeks) and PROM but were less likely diagnosed with IUGR and late delivery (42 weeks, p < 0.05) compared to those exposed at third trimester. Accordingly, IUGR and preterm deliveries presented elevated healthcare costs.Conclusion: Natural disasters such as earthquakes are associated to adverse perinatal outcomes that impact negatively the entire maternal-neonatal healthcare system. © 2012 Informa UK, Ltd.";"Adverse perinatal outcomes; Earthquake; Preterm delivery; Small gestational age; Stress associated to natural disaster; adult; adverse outcome; article; birth rate; Chile; controlled study; delivery; earthquake; environmental exposure; female; first trimester pregnancy; health care cost; human; intrauterine growth retardation; macrosomia; major clinical study; medical record review; outcome assessment; perinatal period; pregnancy outcome; pregnant woman; premature fetus membrane rupture; premature labor; priority journal; small for date infant; third trimester pregnancy; Adult; Birth Rate; Disasters; Earthquakes; Female; Fetal Growth Retardation; Fetal Membranes, Premature Rupture; Health Care Costs; Humans; Infant, Newborn; Infant, Small for Gestational Age; Male; Odds Ratio; Pregnancy; Pregnancy Complications; Pregnancy Trimesters; Pregnancy, Prolonged; Premature Birth; Risk Factors";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866363320&doi=10.3109%2F14767058.2012.678437&partnerID=40&md5=545db5c56bc8c2fe2b3a64c2bc14ae98"
"scopus";"";"10.1080/09603123.2011.613113";"Exploring geological and socio-demographic factors associated with under-five mortality in the Wenchuan earthquake using neural network model";"Hu, Y.; Wang, J.; Li, X.; Ren, D.; Driskell, L.; Zhu, J.";"International Journal of Environmental Health Research";"2012";"22";"2";"184-196";"";"On 12 May 2008, a devastating earthquake occurred in Sichuan Province, China, taking tens of thousands of lives and destroying the homes of millions of people. Among the large number of dead or missing were children, particularly children aged less than five years old, a fact which drew significant media attention. To obtain relevant information specifically to aid further studies and future preventative measures, a neural network model was proposed to explore some geological and socio-demographic factors associated with earthquake-related child mortality. Sensitivity analysis showed that topographic slope (mean 35.76%), geomorphology (mean 24.18%), earthquake intensity (mean 13.68%), and average income (mean 11%) had great contributions to child mortality. These findings could provide some clues to researchers for further studies and to policy makers in deciding how and where preventive measures and corresponding policies should be implemented in the reconstruction of communities. © 2012 Taylor & Francis.";"earthquake; Geographic Information System (GIS); neural network model; risk factors; under-five mortality; artificial neural network; child health; demographic trend; geomorphology; GIS; mortality; reconstruction; sensitivity analysis; Sichuan earthquake 2008; slope; topography; article; child; childhood mortality; China; demography; earthquake; human; preschool child; school child; Child Mortality; Child, Preschool; Demography; Earthquakes; Geological Phenomena; Humans; Infant; Infant Mortality; Infant, Newborn; Neural Networks (Computer); Sichuan";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859193842&doi=10.1080%2F09603123.2011.613113&partnerID=40&md5=4b638f33d0ccd8281d1356570dbf1be1"
