"source_db";"source_id";"doi";"title";"authors";"journal";"year";"volume";"issue";"pages";"issn";"abstract";"keywords";"mesh_terms";"matched_disasters_mesh";"matched_gestational_mesh";"matched_neonatal_mesh";"language";"publication_type";"url"
"scopus";"";"10.1186/s13031-025-00743-4";"Comment for conflict and health don't let sexual and reproductive health in humanitarian and fragile settings become a casualty of aid cuts and crisis fatigue";"Tran, N.T.; Talbi, N.; Hildebrand, M.; Cornier, N.; Khosla, R.; Schulte-Hillen, C.";"Conflict and Health";"2026";"20";"1";"";"";"In 2025, 300 million people require humanitarian assistance, with sexual and reproductive health (SRH) crises driving 60% of preventable maternal deaths in conflict-affected countries. Despite the proven life-saving impact of the Minimum Initial Service Package (MISP) for SRH in Crisis Situations, official development assistance for SRH declined by 27% between 2022 and 2023, threatening implementation in fragile settings. Analysis of MISP Readiness Assessments across 64 countries (2021–2024) reveals critical gaps: while 95% have national emergency policies, only 40% of these integrate essential MISP services. With four in five countries at risk of missing 2030 maternal mortality targets, urgent action is imperative. Countries must anchor MISP into national disaster frameworks, establish dedicated SRH emergency funding, mandate MISP training for frontline providers, and integrate preparedness into health system strengthening. Reaffirming political and financial commitment to MISP is imperative to prevent preventable deaths and safeguard SRH as a core component of humanitarian and health system resilience. © The Author(s) 2025.";"Emergency preparedness; Funding; Humanitarian crises; Minimum initial service package (MISP); Sexual and reproductive health";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028318519&doi=10.1186%2Fs13031-025-00743-4&partnerID=40&md5=3d1b7870a4e4425ddf0565c25c678d60"
"scopus";"";"10.1002/bdr2.70026";"Temporal Trends in Fetal Congenital Heart Disease: Is There a Potential Link With Air Quality?";"Ewing, N.L.; Donofrio, M.T.; Shaw, G.M.; Klein, J.H.";"Birth Defects Research";"2026";"118";"2";"";"";"Background: Congenital heart disease (CHD) is the most common birth defect. Environmental risk factors, including air pollution, are increasingly identified as contributors to the risk profile of CHD. We sought to investigate the temporal association between frequency and severity of fetal CHD with air quality in the D.C. metropolitan region. Methods: We queried all fetal diagnoses of CHD at a tertiary care center over a 5-year period, inclusive of a wildfire smoke event. We categorized each case as critical or non-critical CHD and assigned the case to the estimated month of delivery. We used descriptive statistics to show temporal trends in fetal CHD and the relationship with publicly available air quality data. Results: Of the 685 CHD cases, approximately 60% were considered critical CHD. The highest number of cases occurred in March 2024 (coincident with a periconception period in June 2023 during peak wildfire smoke exposure). An additional peak in CHD cases in February 2023 also coincided with a worse air quality peak during the cardiac embryonic period. However, there was no change in the percentage of critical CHD during these peaks. Conclusion: Our work highlights the possibility of environmental pollution, specifically wildfire smoke exposure, as a risk factor for fetal CHD. © 2026 Wiley Periodicals LLC.";"air pollution; congenital heart disease; fetal; wildfire; adverse event; air pollutant; air pollution; congenital heart malformation; environmental exposure; epidemiology; etiology; female; human; pregnancy; risk factor; smoke; wildfire; Air Pollutants; Air Pollution; Environmental Exposure; Female; Heart Defects, Congenital; Humans; Pregnancy; Risk Factors; Smoke; Wildfires";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029449395&doi=10.1002%2Fbdr2.70026&partnerID=40&md5=cba7313e89d8fc6f8b75035c9839636b"
"scopus";"";"10.1097/ANC.0000000000001344";"Supporting NICU Mothers’ Breastfeeding Goals During Climate-Related Disasters Using Kumpfer’s Resilience Framework and CMIST";"Russell, J.; Rhoads, S.J.; Strong, G.; Tucker, J.; McNeill, C.; Cao, X.; Haushalter, A.";"Advances in Neonatal Care";"2026";"26";"1";"12-22";"";"Background: – Breastfeeding mothers and their infants face unique risks during climate-related disasters, including disrupted access to protective factors such as healthcare, communication, and social support systems. Although breastfeeding provides critical immunological and nutritional benefits, early weaning often occurs due to stress, inadequate preparedness, poorly coordinated relief efforts, operational barriers, dislocation, and prolonged adversity. Purpose: – This paper proposes a structured approach to enhance neonatal intensive care unit (NICU) preparedness for, and breastfeeding support during, climate-related disasters by integrating Kumpfer’s Resilience Framework with the Communication, Maintaining Health, Independence, Safety, Support, and Self-determination, and Transportation (CMIST) Framework. Results: – Kumpfer’s Resilience Framework illustrates how mothers adapt their breastfeeding goals during climate-related disasters, shaped by responses to the surrounding environment and internal resiliency factors. The CMIST Framework guides NICU nurses in assessing disaster-related needs and functional considerations for mothers and infants. Integrating these frameworks enables NICU nurses to identify preparedness gaps, assess available resources, and implement contextually tailored interventions. This approach promotes critical thinking within disaster contexts and supports individualized adaptation of breastfeeding goals by addressing disaster-related needs. Implications for Practice and Research: – The combined use of Kumpfer’s Resilience Framework and CMIST offers a nonprescriptive, adaptable guide for NICU nurses to enhance climate-related disaster response strategies that support breastfeeding mothers. NICU nurses can contribute to disaster planning within hospitals, governmental agencies, and nongovernmental organizations to address the needs of breastfeeding mothers and infants. Future research should examine which NICU-specific climate-related disaster preparedness efforts strengthen and optimize maternal resilience and breastfeeding outcomes across diverse settings. © 2026";"adaptation; breastfeeding; climate-related disasters; goals; infant; mother; natural disasters; neonatal intensive care unit; nurses; resilience; breast feeding; climate change; disaster; disaster planning; female; human; mother; neonatal intensive care unit; newborn; psychological resilience; psychology; social support; Breast Feeding; Climate Change; Disaster Planning; Disasters; Female; Humans; Infant, Newborn; Intensive Care Units, Neonatal; Mothers; Resilience, Psychological; Social Support";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029332343&doi=10.1097%2FANC.0000000000001344&partnerID=40&md5=de47811c86ae77b2a242e5b8a1ffcbaa"
"scopus";"";"10.1016/j.envint.2026.110103";"Risk and burden of adverse birth outcomes associated with flood exposure in China: A 4.4 million mother-infant cohort study";"Liu, J.; Wu, J.; Huang, X.; Yu, D.; Huang, Z.; Chen, H.; Wang, C.; Tang, T.; He, F.";"Environment International";"2026";"208";"";"";"";"The risks and attributable burden of adverse birth outcomes from flooding remain unclear. Here, we analyzed a nationwide cohort of over 4.4 million mother-infant pairs in China, matching a spatiotemporal flood database with multiple buffer zones centered on maternal delivery hospitals to assess the health risks of multi-window flood exposure before and during pregnancy. We found that flood exposure during the three months preconception and the first trimester significantly increased the risks of preterm birth (PTB), low birth weight (LBW), small for gestational age (SGA), and term low birth weight (TLBW). Based on exposure assessment within a 3000-meter buffer, we estimate that between 2013 and 2019, first-trimester flood exposure accounted for 925,717 attributable cases of PTB (95% Uncertainty Interval [UI]: 814,446–1,035,426), with an attributable fraction (AF) of 13.56%; 418,333 cases of LBW (95% UI: 359,916–475,711; AF, 13.47%); 263,977 cases of SGA (95% UI: 101,700–424,152; AF, 2.81%); and 591,283 cases of TLBW (95% UI: 364,246–810,774; AF, 9.23%). This study quantifies a major perinatal health burden from flooding and identifies critical windows for intervention before and during early pregnancy. © © 2026. Published by Elsevier Ltd.";"Adverse birth outcomes; Attributable burden; Flood; Low birth weight; Preterm birth; Flood control; Health risks; Obstetrics; Risk assessment; Risk management; Uncertainty analysis; Adverse birth outcome; Attributable burden; Attributable fraction; First trimesters; Floodings; Gestational age; Low birth weights; Preterm birth; Term low birth weights; Uncertainty intervals; Copyrights; Floods; cohort analysis; flooding; health risk; pregnancy; weight; Article; China; controlled study; disease burden; exposure; female; first trimester pregnancy; gestational age; health hazard; human; infant; low birth weight; major clinical study; male; Monte Carlo method; mother; outcome assessment; particulate matter 2.5; pregnancy outcome; prematurity; risk factor; sensitivity analysis";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029060599&doi=10.1016%2Fj.envint.2026.110103&partnerID=40&md5=8c592eea72929bf85388f4f0ef0458b8"
"scopus";"";"10.1016/j.acepjo.2025.100305";"Measuring Pediatric Disaster Readiness of United States Emergency Departments";"Chung, S.; Grove, D.; McCarthy, D.; Crady, R.; Moegling, M.; Hewes, H.; Newton, C.; Gausche-Hill, M.";"JACEP Open";"2026";"7";"1";"";"";"Objectives: The state of pediatric disaster readiness of United States emergency departments is largely unknown. Using the questions from the National Pediatric Readiness Project (NPRP) 2021 assessment, we sought to define the domains important for a hospital's disaster response for children, develop a consensus-based pediatric weighted disaster readiness score (WDRS), measure the state of pediatric disaster readiness, and identify gaps in disaster planning. Methods: The 2021 NPRP assessment identified 8 domains of disaster readiness. Using an iterative consensus-based approach, we determined weighting for each of these disaster domains. We calculated a normalized pediatric WDRS for all hospitals that participated in the NPRP assessment (range, 0-100 points). Results: Of 5150 hospitals surveyed in the 2021 NPRP assessment, 3647 responded, and 3458 (94.8%) of these had complete data. Median WDRS was 52.0 (IQR, 36.0, 75.0). Higher WDRS was associated with the presence of a pediatric emergency care coordinator, a comprehensive quality improvement plan for children, staffing with board-certified emergency physicians, and trauma center designation with adult and pediatric capabilities. The WDRS was highly correlated with the NPRP's day-to-day readiness score (r = 0.88). Common missing elements in disaster plans included the lack of pediatric patients in disaster drills and plans for children with behavioral health conditions and special health care needs. Conclusion: Overall, pediatric disaster readiness in the United States is low with high variability across hospitals. Disaster readiness is linked with day-to-day pediatric readiness of emergency departments to care for children. © 2025";"disaster; emergency departments; EMS; metrics; pediatric; quality improvement; readiness; Article; care coordinator; demographics; disaster management; disaster planning; emergency care; emergency health service; emergency medicine; emergency physician; emergency ward; general hospital; human; Measuring Pediatric Disaster Readiness; named groups by occupation; neonatal intensive care unit; pediatric intensive care unit; pediatric patient; physician; public health; rural area; scoring system; self report; Subject matter experts; urban area; weighted disaster readiness score";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026695631&doi=10.1016%2Fj.acepjo.2025.100305&partnerID=40&md5=e8c57d47f06998ded5293a2e7d9e8e32"
"scopus";"";"10.1093/ije/dyaf212";"Prenatal exposure to wildfire PM2.5 and pregnancy loss in Colorado, USA, 2007–2018";"Leung, M.; Im, S.; Rowland, S.T.; Papatheodorou, S.; Coull, B.A.; Kioumourtzoglou, M.-A.; Weisskopf, M.G.; Wilson, A.";"International Journal of Epidemiology";"2026";"55";"1";"";"";"Background: The association between wildfire smoke (WFS) exposure and pregnancy loss has been understudied. Here, we examined the association between prenatal wildfire-specific particulate matter ≤2.5µm (PM<inf>2.5</inf>) exposure and pregnancy loss in Colorado, USA. Methods: We retrieved all birth records from the 17 ‘Front Range’ counties (just east of the Rocky Mountains) of Colorado from 2007 to 2018 (n=614 321). We considered two PM<inf>2.5</inf> exposures—wildfire-specific PM<inf>2.5</inf> from a novel machine learning model and non-wildfire PM<inf>2.5</inf> constructed using the Community Multiscale Air Quality model. We fitted quasi-Poisson distributed lag models to estimate the associations between the two weekly-resolved PM<inf>2.5</inf> exposures during pregnancy and live birth-identified conceptions (LBICs) in each county. That is, we used the predicted change in the LBICs to directly infer the change in the number of pregnancy losses due to the exposure. Results: Average weekly non-wildfire PM<inf>2.5</inf> was 6.2µg/m3 (SD 2.3). In weeks with non-zero WFS (27% of all county-weeks), the average wildfire-specific PM<inf>2.5</inf> was 0.92µg/m3 (SD: 1.55). Wildfire-specific PM<inf>2.5</inf> appeared important in gestational weeks 6–13—a 1-µg/m3 higher exposure sustained in these gestational weeks was associated with 20 [95% confidence interval (CI): 4–34] losses/year. In contrast, the cumulative association with non-wildfire PM<inf>2.5</inf> was stronger—a 1-µg/m3 higher exposure sustained in every week of pregnancy was associated with 84 (95% CI: 46–129) losses/year. Conclusion: Our findings suggest that both wildfire-specific and non-wildfire PM<inf>2.5</inf> exposures were associated with more pregnancy loss and add to the growing literature on the harmful effects of wildfires and, more broadly, air pollution. © The Author(s) 2026. Published by Oxford University Press on behalf of the International Epidemiological Association. All rights reserved.";"air pollution; climate; particulate matter; pregnancy loss; wildfires; atmospheric pollution; climate effect; confidence interval; machine learning; particulate matter; pollution exposure; pregnancy; smoke; wildfire; Article; Colorado; conception; female; human; live birth; major clinical study; particulate matter 2.5; PM2.5 exposure; prenatal exposure; spontaneous abortion; adult; adverse event; air pollutant; air pollution; environmental exposure; epidemiology; maternal exposure; young adult; Front Range; Rocky Mountains; Abortion, Spontaneous; Adult; Air Pollutants; Air Pollution; Environmental Exposure; Female; Humans; Maternal Exposure; Particulate Matter; Pregnancy; Smoke; Wildfires; Young Adult";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026412990&doi=10.1093%2Fije%2Fdyaf212&partnerID=40&md5=c9199d2de972d6a3f598527863def23b"
"scopus";"";"10.1016/j.semperi.2025.152198";"Mitigating threats, maximizing opportunities: Harnessing post-pandemic heath services to strengthen the safety net for perinatal patients";"Brumberg, H.L.; Shah, S.";"Seminars in Perinatology";"2026";"50";"1";"";"";"";"anxiety disorder; climate change; clinical practice; community hospital; coronavirus disease 2019; critically ill patient; depression; diagnostic test; drug shortage; economic evaluation; Editorial; government regulation; health care system; health economics; health insurance; health program; health service; hospital purchasing; housing instability; human; intensive care; maternity ward; medicaid; medical resource shortage; mental health; natural disaster; neonatal intensive care unit; pandemic; patient experience; patient safety; perinatal care; perinatal period; physician shortage; pregnant woman; public health service; rural area; social determinants of health; telehealth; United States; editorial; female; major clinical study";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025157163&doi=10.1016%2Fj.semperi.2025.152198&partnerID=40&md5=a74aa804d86393e644b6fc945c6f01fc"
"scopus";"";"10.1016/j.pce.2025.104192";"Extreme events and infant mortality: A mathematical modeling approach to understand climate-induced vulnerability in India";"Chaturvedi, A.; Bhat, M.Y.";"Physics and Chemistry of the Earth";"2026";"142";"";"";"";"Extreme climate events have increased the frequency and intensity of environmental extremes, impacting children, particularly infants. To systematically investigate how infant mortality is temporally related to extreme climate events, we created a mathematical model to demonstrate the transitory nature of the relationships in India over the period 1990–2022, using the Autoregressive Distributed Lag (ARDL) method as an econometric approach with time series mathematical modeling. This method enables to estimate variables dynamic relationships in both the long and short run, and is ideal for addressing the complexity of extreme climatic event interactions. The empirical findings indicate that particulate matter (PM<inf>2.5</inf>), and increased frequency of natural disaster events have a significant positive relationship with higher infant mortality rates in both long and short-run, as 1 % rise in disasters and PM<inf>2.5</inf> levels results in 0.05 % and 0.12 % rise in infant mortality rates respectively in the long run. The increased occurrence of vector-borne diseases has revealed mixed results as rise in malaria by 1 % leads to rise in infant mortality rates by 0.21 % in the long-run, while dengue has a negative association in the long-run. The rise in temperature and carbon emissions demonstrated a negative link with the infant mortality rate in both long and short-run. This study highlights the need for climate-resilient health systems and the need for early warning systems to protect infant health amid increasing climate extremes. © 2025 Elsevier Ltd.";"Air pollution; ARDL; Elevated temperatures; Extreme events; Mathematical modeling; Natural disasters; Climate models; Disasters; Diseases; Particles (particulate matter); Population statistics; Auto-regressive; Autoregressive distributed lag; Elevated temperature; Extreme events; Infant mortality; Infant mortality rates; Longest run; Mathematical modeling; Natural disasters; Short runs; Air pollution; atmospheric pollution; climate effect; extreme event; high temperature; infant mortality; natural disaster; numerical model; vulnerability; India";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023643200&doi=10.1016%2Fj.pce.2025.104192&partnerID=40&md5=058d7f7abce2887e176c0a1aedf5a45e"
"scopus";"";"10.1055/a-2717-1246";"Relationship Between Posttraumatic Stress Disorder and Sleep Quality in Pregnant Earthquake Survivors";"Öztaş, H.G.; Aksüt Akçay, E.; Erdī, G.";"Zeitschrift fur Geburtshilfe und Neonatologie";"2026";"230";"1";"55-64";"";"Objectives This study aims to investigate the relationship between posttraumatic stress disorder (PTSD) and sleep quality among pregnant earthquake survivors. Method A cross-sectional study was designed. The sample consisted of 272 pregnant earthquake survivors who were admitted to a hospital in southern Türkiye. Data were collected using The Personal Information Disclosure Form, The Impact of Event Scale (IES), and the Pittsburgh Sleep Quality Index (PSQI). Statistical analyses included descriptive statistics, independent samples t-test, one-way ANOVA, Pearson correlation, and multiple linear regression. Results The mean IES total score was 41.37±19.73. The mean scores for the IES subscales were: Intrusion 15.17±8.19, Avoidance 15.25±6.74, and Hyperarousal 10.95±6.40. Considering the diagnostic cut-off value of 33 for PTSD on the IES, the mean IES score among the pregnant women in this study (41.37±19.73) indicates that their PTSD levels were above average and they were found to be at risk for PTSD. In general, positive, significant, but weak correlations were observed between the scale scores. A non-significant, positive, and very weak correlation was found between the IES and PSQI total scores (p>0.05). Conclusion Pregnant earthquake survivors exhibited elevated PTSD levels and poor sleep quality. Although the association between PTSD and sleep quality was weak, the findings highlight the need for psychological screening and supportive interventions in antenatal care following disasters. © 2026 Georg Thieme Verlag. All rights reserved.";"Earthquakes; Midwifery; Post-Traumatic; Stress Disorders; adult; comorbidity; cross-sectional study; diagnosis; earthquake; epidemiology; female; human; posttraumatic stress disorder; pregnancy; pregnancy complication; psychology; risk factor; sleep disorder; sleep quality; survivor; turkey (bird); young adult; Adult; Comorbidity; Cross-Sectional Studies; Earthquakes; Female; Humans; Pregnancy; Pregnancy Complications; Risk Factors; Sleep Quality; Sleep Wake Disorders; Stress Disorders, Post-Traumatic; Survivors; Turkey; Young Adult";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020647923&doi=10.1055%2Fa-2717-1246&partnerID=40&md5=92a548b0db7ba2c2b4582b0357981c6d"
"scopus";"";"10.1021/acs.est.5c05040";"Impact of Wildland Fire Smoke PM2.5on Birth Weight in California";"Gao, X.; Picciotto, S.; Goin, D.E.; Lurmann, F.; Pavlovic, N.; Woodruff, T.J.; Morello-Frosch, R.; Padula, A.M.";"Environmental Science and Technology";"2026";"60";"3";"2291-2300";"";"The increase in the frequency, duration, and intensity of wildland fires is a significant source of air pollution that can impact perinatal outcomes. This study assessed associations between wildfire fine particulate matter <2.5 μm (PM<inf>2.5</inf>) and adverse birth weight outcomes among singleton term births in California for 2007–2018. Exposure was assessed using bias-corrected Community Multiscale Air Quality Model, linked to residence at delivery. Logistic and linear regression models estimated associations between average daily wildfire PM<inf>2.5</inf> and birth weight outcomes, adjusting for individual-level sociodemographic covariates and seasonality. We conducted race/ethnicity-stratified analyses to assess whether the influence of wildfire PM<inf>2.5</inf> differed among racially marginalized populations. In a sample of 4,537,418 term births, a 1 μg/m3 increase in wildfire PM<inf>2.5</inf> during pregnancy was associated with increased odds of large for gestational age and an increase in birth weight, as well as moderately decreased odds of low birth weight and small for gestational age. These associations were more pronounced among Hispanic individuals and those in the Other race category. Conversely, among American Indian and Alaska Native births, exposure to wildfire PM<inf>2.5</inf> was associated with decreased odds of large for gestational age. Results underscore the importance of understanding how wildfire PM<inf>2.5</inf> impacts fetal growth, especially among marginalized groups. © 2026 The Authors. Published by American Chemical Society";"birth outcomes; birth weight; large for gestational age; pregnancy; small for gestational age; wildfire; Air quality; Fires; Linear regression; Particles (particulate matter); Birth outcome; Birth weight; Gestational age; Large for gestational age; Particulate Matter; Pregnancy; Small for gestational age; Wildfire; Wildland fire; Obstetrics; air quality; atmospheric pollution; birth rate; logistics; particulate matter; pregnancy; regression analysis; smoke; wildfire; Alaska; California; United States; adult; air pollutant; birth weight; female; human; newborn; Adult; Air Pollutants; Birth Weight; Female; Humans; Infant, Newborn; Smoke; Wildfires";"";"";"";"";"";"JOUR";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028680885&doi=10.1021%2Facs.est.5c05040&partnerID=40&md5=86fa74b241dff66683d3cd1403fcaa37"
