"source_db";"source_id";"doi";"title";"authors";"journal";"year";"volume";"issue";"pages";"issn";"abstract";"keywords";"mesh_terms";"matched_disasters_mesh";"matched_gestational_mesh";"matched_neonatal_mesh";"language";"publication_type";"url"
"wos";"WOS:000759377100005";"10.1016/j.tjog.2021.11.005";"The impact of flood on pregnancy outcomes: A review article";"Partash, N; Naghipour, B; Rahmani, SH; Asl, YP; Arjmand, A; Ashegvatan, A; Faridaalaee, G";"TAIWANESE JOURNAL OF OBSTETRICS & GYNECOLOGY";"2022";"61";"1";"10-14";"1028-4559";"Flood is one of the natural disasters with high prevalence in the world. The aim of this research was to investigate the effect of flood on pregnancy outcome and pregnancy complication such as preterm birth, LBW, SGA, stillbirth, spontaneous abortion, preeclampsia and eclampsia. This is a systematic review based on the PRISMA model that examines pregnancy disorder, pregnancy complication, and reproductive outcomes in floods. For fulfilling of the objectives of the research, related keywords were identified using Mesh and Emtree databases. Then the search was done in the electronic database of Medline, Web of Science, Embase, scopus until 2021.2.10. The search strategy in the Medline database. Database searches resulted in 823 non-duplicate records. After reading the abstracts, 808 articles were excluded. 15 abstracts were eligible for the study, which their full texts were provided. Finally based on inclusion and exclusion criteria 7 articles were included in this study. After flood, the rate of LBW birth and gestational hypertension increases. However, there is no significant difference in preterm birth rates. Pregnancy complications can be reduced or prevented by starting prenatal care early and also by controlling risk factors such as reducing smoking and alcohol consumption. (C) 2022 Taiwan Association of Obstetrics & Gynecology. Publishing services by Elsevier B.V.";"Floods; Pregnancy; Pregnancy outcome; Premature birth; Low birth weight; BIRTH-WEIGHT; HEALTH; DISASTER; EXPOSURE; STRESS";"";"";"";"";"English";"JOUR";""
"wos";"WOS:000288399500001";"10.1007/s10995-010-0576-9";"Impact of the Red River Catastrophic Flood on Women Giving Birth in North Dakota, 1994-2000";"Tong, V; Zotti, ME; Hsia, J";"MATERNAL AND CHILD HEALTH JOURNAL";"2011";"15";"3";"281-288";"1092-7875";"To document changes in birth rates, birth outcomes, and pregnancy risk factors among women giving birth after the 1997 Red River flood in North Dakota. We analyzed detailed county-level birth files pre-disaster (1994-1996) and post-disaster (1997-2000) in North Dakota. Crude birth rates and adjusted fertility rates were calculated. The demographic and pregnancy risk factors were described among women delivering singleton births. Logistic regression was conducted to examine associations between the disaster and low birth weight (< 2,500 g), preterm birth (< 37 weeks), and small for gestational age infants adjusting for confounders. The crude birth rate and direct-adjusted fertility rate decreased significantly after the disaster in North Dakota. The proportion of women giving birth who were older, non-white, unmarried, and had a higher education increased. Compared to pre-disaster, there were significant increases in the following maternal measures after the disaster: any medical risks (5.1-7.1%), anemia (0.7-1.1%), acute or chronic lung disease (0.4-0.5%), eclampsia (0.3-2.1%), and uterine bleeding (0.3-0.4%). In addition, there was a significant increase in births that were low birth weight (OR 1.11, 95% CI 1.03-1.21) and preterm (OR 1.09, 95% CI 1.03-1.16) after adjusting for maternal characteristics and smoking. Following the flood, there was an increase in medical risks, low birth weight, and preterm delivery among women giving birth in North Dakota. Further research that examines birth outcomes of women following a catastrophic disaster is warranted.";"Pregnancy; Natural disaster; Birth outcomes; NEURAL-TUBE DEFECTS; HURRICANE-KATRINA; NATURAL DISASTER; PREGNANCY; STRESS; HEALTH; PREECLAMPSIA; EXPOSURE; OUTCOMES; RISK";"";"";"";"";"English";"JOUR";""
"wos";"WOS:000494748600216";"10.3390/ijerph16193720";"Impact of Wildfire Smoke on Adverse Pregnancy Outcomes in Colorado, 2007-2015";"Abdo, M; Ward, I; O'Dell, K; Ford, B; Pierce, JR; Fischer, EV; Crooks, JL";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH";"2019";"16";"19";"";"1660-4601";"Colorado is regularly impacted by long-range transport of wildfire smoke from upwind regions. This smoke is a major source of ambient PM2.5. Maternal exposure to total PM2.5 during pregnancy has been linked to decreased birth weight and other adverse outcomes, although the impact of wildfire smoke contribution has only recently been investigated. The objective of this study was to estimate associations between adverse pregnancy outcomes and ambient wildfire smoke PM2.5. Wildfire smoke PM2.5 exposures were estimated using a previously published method incorporating ground-based monitors and remote sensing data. Logistic regression models stratified by ZIP code and mixed models with random intercept by ZIP code were used to test for associations. The primary outcomes of interest were preterm birth and birth weight. Secondary outcomes included gestational hypertension, gestational diabetes, neonatal intensive care unit admission, assisted ventilation, small for gestational age, and low birth weight. Exposure to wildfire smoke PM2.5 over the full gestation and during the second trimester were positively associated with pre-term birth (OR = 1.076 (mu g/m(3))(-1) [95% CI = 1.016, 1.139; p = 0.013] and 1.132 (mu g/m(3))(-1) [95% CI = 1.088, 1.178]; p < 0.0001, respectively), while exposure during the first trimester was associated with decreased birth weight (-5.7 g/(mu g/m(3)) [95% CI: -11.1, -0.4; p = 0.036]). Secondary outcomes were mixed.";"wildfire smoke; PM2.5; Colorado; pre-term birth; birth weight; gestational diabetes; gestational hypertension; small for gestational age; assisted ventilation; NICU admission; FINE PARTICULATE MATTER; BIRTH-WEIGHT; AIR-POLLUTION; OCCUPATIONAL-EXPOSURE; HOSPITAL ADMISSIONS; MATERNAL SMOKING; HEALTH IMPACTS; RISK; ASSOCIATIONS; URBAN";"";"";"";"";"English";"JOUR";""
"wos";"WOS:000585246100001";"10.3389/fped.2020.584281";"Neonatal Intensive Care Unit Evacuation and Care During a Natural Disaster: The Experience of Cyclone Idai in Beira, Mozambique";"Calgaro, S; Borellini, M; Seni, AHA; Tirzi, MC; Gimo, AMD; Cebola, BR; Putoto, G; Trevisanuto, D";"FRONTIERS IN PEDIATRICS";"2020";"8";"";"";"2296-2360";"Global warming has increased the frequency of natural disasters, such as cyclones. Mozambique is considered one of the most vulnerable countries to extreme weather events. Natural disasters particularly affect vulnerable people, including preterm and critical ill infants of Neonatal Intensive Care Units (NICUs). Literature on NICU evacuations in the case of a natural disaster has been reported in high-resource settings, but it is lacking in low-resource settings. On the 14th of March 2019, a tropical cyclone (Idai) hit Mozambique. This report is a descriptive analysis of the experience of the NICU evacuation and care during and after cyclone Idai at Beira Central Hospital, Beira, Mozambique.";"NICU; neonatology; cyclone; natural disaster; Mozambique; HURRICANE-KATRINA; LESSONS; NICU";"";"";"";"";"English";"JOUR";""
"wos";"WOS:000891092000001";"10.2188/jea.JE20210444";"The Effects of the Great East Japan Earthquake on Perinatal Outcomes: Results of the Pregnancy and Birth Survey in the Fukushima Health Management Survey";"Kyozuka, H; Murata, T; Yasuda, S; Ishii, K; Fujimori, K; Goto, A; Yasumura, S; Ota, M; Hata, K; Suzuki, K; Nakai, A; Ohira, T; Ohto, H; Kamiya, K";"JOURNAL OF EPIDEMIOLOGY";"2022";"32";"";"S57-S63";"0917-5040";"There are limited studies on the long-term effects of natural/environmental disasters, especially nuclear disasters, on obstetric outcomes. This study aimed to review the results of perinatal outcomes immediately after the Great East Japan Earthquake (GEJE) and the Fukushima Daiichi Nuclear Power Plant accident, as well as their long-term trends over 8 years, in the Fukushima Health Management Survey. The annual population-based Pregnancy and Birth Survey is conducted as part of the Fukushima Health Management Survey. The Fukushima Prefecture government launched it to assess the health conditions of pregnant women and their neonates after the GEJE. The self-reported questionnaire was sent to 115,976 pregnant women by mail from January 2012, with 58,344 women responding to the questionnaire (50.3% response rate). Pregnancy complications, such as gestational hypertension, respiratory diseases, and mental disorders, increased in some women who were pregnant at the time of the earthquake and immediately after the earthquake. However, the direct effects on newborns, such as preterm birth, low birth weight, and congenital anomalies, were not immediately clear after the earthquake. Although there were significant differences in the occurrence of preterm birth and low birth weight among the districts, there was no change in the occurrences of preterm birth, low birth weight, or anomalies in newborns in Fukushima Prefecture from the fiscal year 2011 to the fiscal year 2018. Therefore, the long-term effects of the post-disaster radiation accident on perinatal outcomes are considered to be very small.";"earthquake; nuclear accident; preterm delivery; low-birth-weight infant; congenital anomaly; POWER-PLANT ACCIDENT; CONGENITAL-ANOMALIES; NUCLEAR DISASTER; CHERNOBYL; IMPACT; MALFORMATIONS; PREVALENCE; RADIATION; EXPOSURE; DEFECTS";"";"";"";"";"English";"JOUR";""
"wos";"WOS:001289511900001";"10.22037/aaem.v12i1.2268";"Consequences of Natural and Man-made Disasters on Pregnancy Out-comes and Complications: A Systematic Review";"Asl, YP; Ghanbari-Homaie, S; Partash, N; Pakzad, A; Faridaalaee, G";"ARCHIVES OF ACADEMIC EMERGENCY MEDICINE";"2024";"12";"1";"";"2645-4904";"Introduction: Due to their unique circumstances, pregnant women face a heightened risk of experiencing pregnancy complications during and after catastrophic events. This study aims to investigate the consequences of both natural and man-made disasters on pregnancy outcomes. Methods: This study is a systematic review. Searches were performed until May 31, 2024, in the electronic databases including Medline, Web of Science, Embase, and Scopus. Outcomes such as preterm birth, low birth weight (LBW), small for gestational age (SGA), stillbirth, spontaneous abortion, and pregnancy-related blood pressure complications were studied. Results: The search conducted in the databases yielded 3307 non-duplicate records. After reading the abstracts, 3204 articles were excluded based on inclusion and exclusion criteria. Full texts of 103 article were obtained. However, upon reading the full texts of articles, 13 of them did not meet the inclusion criteria for the study. Consequently, 90 articles were ultimately included. Conclusions: Natural and man-made disasters exert significant influence on adverse pregnancy outcomes. While it is impossible to prevent the incidence of natural disasters and often man-made disasters occur abruptly, the negative consequences of disasters, particularly natural ones, can be mitigated by enhancing prenatal care and avoiding detrimental elements such as smoking and alcohol.";"Systematic review; Disasters; Premature birth; Abortion; spontaneous; Infant; low birth weight; EAST JAPAN EARTHQUAKE; LOW-BIRTH-WEIGHT; PERINATAL OUTCOMES; HURRICANE-KATRINA; MATERNAL EXPOSURE; PRETERM BIRTH; TIME TRENDS; CHERNOBYL; FLOOD; STRESS";"";"";"";"";"English";"JOUR";""
"wos";"WOS:001143821100001";"10.1002/ijgo.15369";"Association between earthquakes and perinatal outcomes: A systematic review and meta-analysis";"Wada, Y; Watanabe, J; Yamamoto, N; Kubota, T; Kamijo, K; Hirano, D; Takahashi, H; Fujiwara, H";"INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS";"2024";"166";"1";"228-237";"0020-7292";"BackgroundEvidence for the association between earthquakes and adverse perinatal outcomes is limited.ObjectivesTo evaluate the association between earthquakes and perinatal outcomes including preterm birth and low birth weight.Search StrategyWe searched studies using MEDLINE, Cochrane Central Register of Controlled Trials, EMBASE, World Health Organization International Clinical Trials Platform Search Portal, and on February 9, 2023.Selection CriteriaWe included before-and-after studies that evaluated the associations between earthquakes and perinatal outcomes in women living in affected areas.Data Collection and AnalysisTwo independent reviewers extracted data. We calculated the pooled odds ratio (OR) with the random-effects model. We analyzed outcomes in subgroups of Asians and others. We evaluated the certainty of evidence with the Grading of Recommendations Assessment, Development and Evaluation system.Main ResultsWe included 2 607 405 women in 13 studies. Earthquakes may not increase preterm birth (nine studies, 1 761 760 participants: OR 1.10, 95% confidence interval [CI] 0.98-1.24, low certainty of evidence) or low birth weight (seven studies, 1 753 891 participants: OR 1.10, 95% CI 0.94-1.28, low certainty of evidence). Subgroup analyses showed that earthquakes may be associated with an increase of preterm birth among populations in Asia (OR 1.44, 95% CI 1.07-1.95), but this was not evident in others (OR 0.93, 95% CI 0.83-1.05).ConclusionsPerinatal outcomes might not change after earthquakes. Further research on the association between earthquakes and perinatal outcomes, combined with an assessment of the characteristics of the region, is needed. Preterm birth and low birth weight might not change after earthquakes. However, earthquakes may be associated with an increase of preterm birth in Asia.";"earthquake; low birth weight; miscarriage; natural disaster; preterm birth; secondary sex ratio; small for gestational age; stillbirth; SECONDARY SEX-RATIO; EAST JAPAN EARTHQUAKE; BIRTH OUTCOMES; MATERNAL STRESS; GESTATIONAL-AGE; PREGNANCY; RISK; POLYMORPHISM; COHORT; IMPACT";"";"";"";"";"English";"JOUR";""
"wos";"WOS:001055705900001";"10.3390/life13081702";"Eight-Year Trends in the Effect of the Great East Japan Earthquake on Obstetrics Outcomes: A Study from the Fukushima Health Management Survey";"Kyozuka, H; Ohhira, T; Murata, T; Yasuda, S; Ishii, K; Yasumura, S; Fujimori, K; Ohto, H; Kamiya, K; Anton, N; Doroftei, B; Bogdanici, CM";"LIFE-BASEL";"2023";"13";"8";"";"2075-1729";"Information regarding the longitudinal effects of natural/environmental disasters on obstetrics outcomes is limited. This study aimed to analyze the longitudinal changes in obstetrics outcomes over 8 years after the Great East Japan Earthquake and the Fukushima power plant accident. We used data from the first 8 years of the Pregnancy and Birth Survey by the Fukushima prefectural government, launched in 2011. We compared data on obstetrics outcomes by year and divided Fukushima Prefecture into six districts based on administrative districts. Longitudinal changes in the occurrence of preterm birth before 37 gestational weeks, low birth weight, and anomalies in newborns were accessed using the Mantel-Haenszel test for trends in all six districts. Overall, 57,537 participants were included. In 8 years, maternal age, conception rate after sterility treatment, and cesarean section delivery incidence increased. Although significant differences were observed in preterm birth and low birth weight occurrence among districts, there was no significant trend in the occurrence of preterm birth, low birth weight, and anomalies in newborns in all six districts of Fukushima Prefecture. The Great East Japan Earthquake and Fukushima power plant accident were associated with increased cesarean section delivery incidence but had no significant adverse effects on obstetrics outcomes.";"delivery; natural disaster; obstetric outcomes; cesarean section; environmental disaster; CONGENITAL-ANOMALIES; NUCLEAR DISASTER; BIRTH-DEFECTS; CHERNOBYL; PREGNANCY; IMPACT; MALFORMATIONS; PREVALENCE; ACCIDENT; WEIGHT";"";"";"";"";"English";"JOUR";""
"wos";"WOS:001473060400001";"10.1016/j.xagr.2025.100444";"Scoping review of climate drivers on maternal health: current evidence and clinical implications";"Masters, C; Wu, CH; Gleeson, D; Serafica, M; Thomas, JL; Ickovics, JR";"AJOG GLOBAL REPORTS";"2025";"5";"1";"";"2666-5778";"OBJECTIVE: To systematically review the literature on associations between climate drivers and health outcomes among pregnant people. This review fills a gap by synthesizing evidence for a clinician audience. DATA SOURCES: Systematic scoping review of articles published in PubMed and clinicaltrials.gov from January 2010 through December 2023. STUDY ELIGIBILITY CRITERIA: Empirical studies published in English-language peer-reviewed journals, assessing associations between select climate drivers and adverse maternal and birth outcomes. The review included studies examining heat, storms, sea level rise, flooding, drought, wildfires, and other climate-related factors. Health outcomes included preterm birth, low birthweight, small for gestational age, gestational diabetes, pre-eclampsia/eclampsia, miscarriage/stillbirth and maternal mortality. STUDY APPRAISAL AND SYNTHESIS METHODS: The scoping review protocol was registered with the International Platform of Registered Systematic Review and Meta-analysis Protocols (INPLASY202410004, January 3, 2024) and conducted in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA). Data were extracted by 2 authors; quality and risk of bias was assessed independently. RESULTS: Total of 966 references were screened; 16.35% (k=158) met inclusion criteria. The majority of studies (146/158; 92.4%) documented statistically significant and clinically meaningful associations between climate drivers and adverse perinatal health outcomes, including risk of preterm birth, low birthweight, and stillbirth as well as preeclampsia, gestational diabetes, miscarriage, and maternal death. Among the most durable findings: extreme heat exposure in early and late pregnancy were associated with increased risk of preterm birth and stillbirth. Driven in part by large (often population-based) studies and objective outcomes from surveillance data or medical record reviews, studies in this scoping review were evaluated as high quality (scoring 7-9 on the Newcastle-Ottawa Scale). Risk of bias was generally low. CONCLUSIONS: Climate drivers are consistently associated with adverse health outcomes for pregnant people. Continuing education for clinicians, and clinician-patient communications should be expanded to address risks of climate change and extreme weather exposure, especially risks of extreme heat in late-pregnancy. Results from this review should inform multilevel interventions to address adverse health effects of climate during pregnancy as well as practice advisories, protocols, checklists, and clinical guidelines in obstetrics.";"climate change; environmental health; pregnancy; maternal and child outcomes; scoping review; HIGH AMBIENT-TEMPERATURE; BIRTH OUTCOMES; PRETERM BIRTH; HEAT WAVES; PLANETARY HEALTH; RISK; EXPOSURE; PREGNANCY; ASSOCIATION; IMPACT";"";"";"";"";"English";"JOUR";""
"wos";"WOS:000407370700024";"10.3390/ijerph14070692";"Self-Reported Oil Spill Exposure and Pregnancy Complications: The GROWH Study";"Harville, EW; Shankar, A; Zilversmit, L; Buekens, P";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH";"2017";"14";"7";"";"1660-4601";"Adverse infant outcomes often rise in the aftermath of disaster, but few studies have assessed the effects of disaster on maternal health. 1091 southern Louisiana women were interviewed about their pregnancy history, including pregnancy complications. Associations between oil spill exposures and gestational diabetes, hypertensive disorders, and nausea/vomiting were assessed for all reported pregnancies. 631 women had a pregnancy both before and after the oil spill. Generalized estimating equations (logistic regression) with adjustment for confounders were used. To assess possible unmeasured confounding, instead of considering oil spill exposure as a time-varying exposure, women were defined as oil spill-exposed or not. If oil spill-exposed women were equally prone to complications in pregnancies that occurred prior to the oil spill as after it, it was considered that any associations were likely due to selection or reporting issues. Women who reported oil spill exposure, particularly loss of use of the coast, were more likely to report gestational diabetes; however, the level of association was similar for pregnancies before and after the spill (p for interaction > 0.10 and odds ratios (ORs) for pregnancies prior to the spill > than those after the spill). No associations were found between oil spill exposure and hypertensive disorders. This analysis does not suggest an increased risk of pregnancy complications associated with exposure to the oil spill; however, future studies should assess exposure and outcomes prospectively and clinically instead of relying on self-report.";"oil spill; diabetes; gestational; hypertension; pregnancy-induced; nausea; EAST JAPAN EARTHQUAKE; BLOOD-PRESSURE; HURRICANE KATRINA; NATURAL DISASTER; GLYCEMIC CONTROL; MATERNAL RECALL; HEALTH; IMPACT; ALCOHOL; WOMEN";"";"";"";"";"English";"JOUR";""
